Security,Quantity,Cleared Balance,Available Balance,Unsettled Buy,Unsettled Sell,Holding % (Quantity),Avg Price,B.E.S Price,Total Cost,Traded Price,Market Value,Holding % (Market Value),Sales Commission,Sales Proceeds,Unrealized Gain / (Loss),Unrealized Gain/Loss %,Unr Today Gain/(Loss)
ACL.N0000,380,380,380,0,0,4.67,73.7367,74.56,"28,019.94",103.75,"39,425.00",5.80,441.56,"38,983.44","10,963.50",39.13,1045.00
CCS.N0000,0,50,0,0,50,0.00,119.3218,120.66,0.00,114.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COMB.N0000,670,670,670,0,0,8.24,203.4889,205.77,"136,337.58",218.75,"146,562.50",21.58,"1,641.50","144,921.00","8,583.42",6.30,"1,842.50"
DIAL.N0000,500,500,500,0,0,6.15,30.2551,30.59,"15,127.56",30.70,"15,350.00",2.26,171.92,"15,178.08",50.52,0.33,0.00
HNB.N0000,1,1,1,0,0,0.01,404.4900,409.02,404.49,425.75,425.75,0.06,4.77,420.98,16.49,4.08,-0.25
JAT.N0000,0,50,0,0,50,0.00,50.8633,51.43,0.00,48.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JKH.N0000,"3,700","3,700","3,700",0,0,45.51,21.7009,21.94,"80,293.30",22.80,"84,360.00",12.42,944.83,"83,415.17","3,121.87",3.89,1480.00
LIOC.N0000,324,324,324,0,0,3.99,133.6219,135.12,"43,293.49",137.00,"44,388.00",6.53,497.15,"43,890.85",597.37,1.38,810.00
LLUB.N0000,100,100,100,0,0,1.23,181.7633,183.80,"18,176.33",191.00,"19,100.00",2.81,213.92,"18,886.08",709.75,3.90,75.00
MELS.N0000,45,50,45,0,5,0.55,195.1618,197.35,"8,782.28",175.00,"7,875.00",1.16,88.20,"7,786.80",-995.48,-11.34,-135.00
NTB.N0000,1,1,1,0,0,0.01,317.5200,321.08,317.52,326.00,326.00,0.05,3.65,322.35,4.83,1.52,8.00
NTB.X0000,1,1,1,0,0,0.01,399.1700,403.64,399.17,395.00,395.00,0.06,4.42,390.58,-8.59,-2.15,9.50
SAMP.N0000,"1,160","1,160","1,160",0,0,14.27,145.4456,147.07,"168,716.92",154.75,"179,510.00",26.43,"2,010.51","177,499.49","8,782.57",5.21,870.00
SPEN.N0000,200,200,200,0,0,2.46,148.8992,150.57,"29,779.83",161.00,"32,200.00",4.74,360.64,"31,839.36","2,059.53",6.92,400.00
TJL.N0000,0,142,0,0,142,0.00,38.0211,38.45,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TKYO.N0000,500,500,500,0,0,6.15,109.2096,110.43,"54,604.82",114.00,"57,000.00",8.39,638.40,"56,361.60","1,756.78",3.22,375.00
TKYO.X0000,548,548,548,0,0,6.74,87.2429,88.22,"47,809.13",95.50,"52,334.00",7.70,586.14,"51,747.86","3,938.73",8.24,438.40
Total,,,,,,,,,"632,062.36",,"679,251.25",,"7,607.61","671,643.64","39,581.29",,"7,218.15"
