Company Code,Quantity,Avg Price,B.E.S Price,Last,Change,% Change,Accumulate Slowly,Strong Add Zone,Re-evaluate if Market Weak,Pause Buys,Trim Small Portion,Investment_Percentage,Time,Trailing Stop (SELL if below)
ACL.N0000,380,73.7367,74.56,103.75,2.75,2.72,245–250,235–240,Below 230,260–270,280+,5.80%,14:29:14.713810,95
COMB.N0000,670,203.4889,205.77,218.75,2.75,1.27,195–200,185–190,Below 180,210–220,230+,21.58%,14:29:38.911666,205
DIAL.N0000,500,30.2551,30.59,30.70,0.00,0.00,28.5–29.5,26.5–27.5,Below 25.5,31–32,34+,2.26%,14:29:33.752555,28.5
HNB.N0000,1,404.4900,409.02,425.75,-0.25,-0.06,,,,,,0.06%,14:29:51.421050,
JKH.N0000,"3,700",21.7009,21.94,22.80,0.40,1.79,20.5–21.0,19.0–20.0,Below 18.5,22.5–24,26+,12.42%,14:29:39.216494,21.2
LIOC.N0000,324,133.6219,135.12,137.00,2.50,1.86,127–130,120–124,Below 118,135–140,150+,6.53%,14:28:49.322772,128
LLUB.N0000,100,181.7633,183.80,191.00,0.75,0.39,175-180,165-170,Below 160,190-200,210+,2.81%,14:29:36.939578,180
MELS.N0000,45,195.1618,197.35,175.00,-3.00,-1.69,170–175,160–165,Below 155,185–195,205+,1.16%,14:29:37.064447,165
NTB.N0000,1,317.5200,321.08,326.00,8.00,2.52,,,,,,0.05%,14:29:43.633167,305
NTB.X0000,1,399.1700,403.64,395.00,9.50,2.46,,,,,,0.06%,13:46:29.553157,370
SAMP.N0000,"1,160",145.4456,147.07,154.75,0.75,0.49,140–145,130–135,Below 125,150–155,165+,26.43%,14:29:56.198786,145
SPEN.N0000,200,148.8992,150.57,161.00,2.00,1.26,142-146,135-140,Below 130,155-165,175+,4.74%,14:23:05.472027,150
TKYO.N0000,500,109.2096,110.43,114.00,0.75,0.66,106–110,98–102,Below 95,115–120,130+,8.39%,14:26:31.744011,108
TKYO.X0000,548,87.2429,88.22,95.50,0.80,0.84,84-87,78-82,Below 75,92-98,105+,7.70%,14:26:43.01841,90
